Drug Name,Indication
XR5944,Investigated for use/treatment in solid tumors.
Sapacitabine,"Investigated for use/treatment in solid tumors, cutaneous t-cell lymphoma, myelodysplastic syndrome, and leukemia (lymphoid)."
Pertuzumab,"Pertuzumab is indicated for intravenous administration in combination with [trastuzumab] and [docetaxel] for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.[L14747] It is also indicated in combination with trastuzumab and other chemotherapies for the neoadjuvant treatment of HER2-positive locally advanced, inflammatory, or early-stage breast cancer as part of a complete treatment regimen[L14747] and as adjuvant treatment in patients with HER2-positive early-stage breast cancer at high risk of recurrence.[L14747]

Pertuzumab is also indicated for subcutaneous injection - in combination with trastuzumab and [hyaluronidase] - in the treatment of HER2-positive breast cancers in adults.[L14510]"
Indisulam,Investigated for use/treatment in lung cancer.
ASI402,Investigated for use/treatment in breast cancer.
Elacestrant,"Elacestrant is indicated for the treatment of postmenopausal women or adult men with ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.[L44918] Elacestrant is indicated for the same in the EU, with an additional requirement that patients trial a CDK 4/6 inhibitor as a prior line of therapy.[L49329]"
Vitespen,"Investigated for use/treatment in kidney cancer, melanoma, renal cell carcinoma, lymphoma (unspecified), colorectal cancer, and brain cancer."
Annamycin,Investigated for use/treatment in breast cancer and leukemia (unspecified).
Declopramide,Investigated for use/treatment in colorectal cancer and inflammatory bowel disease.
Endostatin,"Investigated for use/treatment in cancer/tumors (unspecified), macular degeneration, and diabetic retinopathy."
Tezacitabine,"Investigated for use/treatment in colorectal cancer, lung cancer, leukemia (unspecified), and gastric cancer."
Semaxanib,Investigated for use/treatment in colorectal cancer and lung cancer.
Diethylnorspermine,"Investigated for use/treatment in renal cell carcinoma, pancreatic cancer, melanoma, and lung cancer."
Aprinocarsen,Investigated for use/treatment in lung cancer.
Mirostipen,"Investigated for use/treatment in breast cancer, lung cancer, and ovarian cancer."
Meclinertant,"Investigated for use/treatment in colorectal cancer, prostate cancer, schizophrenia and schizoaffective disorders, psychosis, depression, and lung cancer."
Squalamine,"Investigated for use/treatment in ovarian cancer, lung cancer, and macular degeneration."
Mitumomab,Investigated for use/treatment in lung cancer and melanoma.
Apolizumab,"Investigated for use/treatment in lymphoma (non-hodgkin's), leukemia (lymphoid), and solid tumors."
Lestaurtinib,"Investigated for use/treatment in pancreatic cancer, prostate cancer, and leukemia (myeloid)."
Sibrotuzumab,"Investigated for use/treatment in cancer/tumors (unspecified), colorectal cancer, and lung cancer."
Porfiromycin,Investigated for use/treatment in head and neck cancer.
Ropidoxuridine,Investigated for use/treatment in cancer/tumors (unspecified).
Enzastaurin,"Investigated for use/treatment in brain cancer, lymphoma (non-hodgkin's), and lung cancer."
Velafermin,Investigated for use/treatment in adverse effects (chemotherapy).
L523S,Investigated for use/treatment in lung cancer.
IGN101,"Investigated for use/treatment in breast cancer, colorectal cancer, and lung cancer."
MLN2704,Investigated for use/treatment in prostate cancer.
MLN576,Investigated for use/treatment in solid tumors.
Astaxanthin,"Investigated for use/treatment in eye disorders/infections, cancer/tumors (unspecified), and asthma."
MG98,"Investigated for use/treatment in head and neck cancer, renal cell carcinoma, myelodysplastic syndrome, and leukemia (myeloid)."
Minodronic acid,"Investigated for use/treatment in multiple myeloma, breast cancer, osteoporosis, and lung cancer."
Labradimil,Investigated for use/treatment in brain cancer and pediatric indications.
Bivatuzumab,Investigated for use/treatment in cancer/tumors (unspecified) and head and neck cancer.
Anpocogin,"Investigated for use/treatment in thrombosis (deep vein), angina, coronary artery disease, and colorectal cancer."
Emfilermin,"Investigated for use/treatment in adverse effects (chemotherapy), reproductive health, and infertility."
Rebimastat,Investigated for use/treatment in lung cancer and prostate cancer.
TG4010,"Investigated for use/treatment in breast cancer, renal cell carcinoma, prostate cancer, and lung cancer."
Triphendiol,Investigated for use/treatment in cancer/tumors (unspecified).
Pazopanib,Treatment of advanced renal cell cancer and advanced soft tissue sarcoma (in patients previously treated with chemotherapy)
Pegargiminase,Investigated for use/treatment in melanoma and hepatocellular carcinoma.
Brostallicin,Investigated for use/treatment in solid tumors.
Lexatumumab,Investigated for use/treatment in cancer/tumors (unspecified).
Catumaxomab,For use in the management of malignant ascites tumours via intraperitoneal infusion where standard therapy is not available or feasible [FDA Label].
Axitinib,Used in kidney cell cancer and investigated for use/treatment in pancreatic and thyroid cancer.
IMA901,Investigated for use/treatment in kidney cancer.
Zibotentan,Investigated for use/treatment in prostate cancer.
Casopitant,Investigated for use/treatment in urinary incontinence and adverse effects (chemotherapy).
Perifosine,"Investigated for use/treatment in solid tumors, multiple myeloma, leukemia (unspecified), lung cancer, and brain cancer."
Denosumab,"Denosumab under the brand name Prolia is indicated as a treatment for osteoporosis in menopausal women or men and glucocorticoid-induced osteoporosis in men and women at high risk of fracture. It is also used to increase bone mass in men at high risk for fractures receiving androgen deprivation therapy for nonmetastatic prostate cancer or women at high risk for fractures receiving adjuvant aromatase inhibitor therapy for breast cancer.[L49796] 

Denosumab under the brand name Xgeva is indicated to prevent skeletal-related events in patients with multiple myeloma and in patients with bone metastases from solid tumors and to treat giant cell tumors of bone in adults and skeletally mature adolescents and hypercalcemia of malignancy refractory to bisphosphonate therapy.[L49806]"
Volociximab,"Investigated for use/treatment in solid tumors, renal cell carcinoma, melanoma, pancreatic cancer, lung cancer, and ovarian cancer."
TAS-106,Investigated for use/treatment in solid tumors and cancer/tumors (unspecified).
Sipuleucel-T,Sipuleucel-T is an autologous cellular immunotherapy indicated for the treatment of asymptomatic or minimally symptomatic metastatic castrate resistant (hormone refractory) prostate cancer.
Degarelix,"In Canada and the US, degarelix is indicated for the treatment of advanced prostate cancer in patients requiring androgen deprivation therapy.[L49355,L49360] In the EU, it is more specifically indicated for the treatment of adult male patients with advanced hormone-dependent prostate cancer, and for treatment of high-risk localized and locally advanced hormone-dependent prostate cancer, in combination with radiotherapy or as a neo-adjuvant prior to radiotherapy.[L49374]"
Methyltestosterone,"Methyltestosterone is an anabolic steroid hormone used to treat men with a testosterone deficiency. It is also used in women to treat breast cancer, breast pain, swelling due to pregnancy, and with the addition of estrogen it can treat symptoms of menopause."
Norelgestromin,Norelgestromin is used for contraception and menopausal hormonal therapy. Norelgestromin may potentially be used in breast cancer treatment due to its inhibitory effect on estrone sulfatase . They convert sulfated steroid precursors to estrogen during pregnancy.
Fosaprepitant,"Fosaprepitant is indicated in adult and pediatric patients ≥6 months of age, in combination with other antiemetic agents, for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy, including high-dose [cisplatin].[L40338] It is also indicated for the treatment of delayed nausea and vomiting with initial and repeat courses of moderately emetogenic cancer chemotherapy.[L40338]"
Buserelin,"Buserelin may be used in the treatment of hormone-responsive cancers such as prostate cancer or breast cancer, estrogen-dependent conditions (such as endometriosis or uterine fibroids), and in assisted reproduction."
Ketobemidone,"For the treatment of all types of severe pain, such as postoperative, cancer, kidney stones and fractures."
Cabazitaxel,"Cabazitaxel is indicated, in combination with [prednisone], for the treatment of patients with metastatic castration-resistant prostate cancer previously treated with a [docetaxel]-containing treatment regimen.[L47366] In Europe and Canada, it can also be used in combination with [prednisolone].[L47376, L47381]"
Dalteparin,"Dalteparin is used as a prophylaxis for deep-vein thrombosis and pulmonary embolisms in patients undergoing general surgery (e.g., abdominal, gynecologic, urologic), and in patients with acute medical conditions (e.g. cancer, bed rest, heart failure, severe lung disease). It is also used in patients who have severely restricted mobility, which poses a risk for thromboembolic complications. 

Dalteparin is also used concomitantly with aspirin and/or other therapy (e.g., nitrates, β-adrenergic blockers, clopidogrel, platelet glycoprotein [GP] IIb/IIIa-receptor inhibitors) to reduce the risk of acute cardiac ischemic events. The patients who undergo this treatment combination have unstable angina or non-ST-segment elevation/non-Q-wave myocardial infarction (i.e., non-ST-segment elevation acute coronary syndromes).

It is also used in the prevention of clotting during hemodialysis and hemofiltration in connection with acute renal failure or chronic renal insufficiency."
Gallium citrate Ga-67,"Gallium Citrate Ga 67 Injection may be useful to demonstrate the presence and extent of Hodgkin's disease, lymphoma, and bronchogenic carcinoma. Positive gallium Ga-67 uptake in the absence of prior symptoms warrants follow-up as an indication of a potential disease state. Gallium Citrate Ga 67 Injection may be useful as an aid in detecting some acute inflammatory lesions."
Histrelin,"As the product Supprelin LA (FDA), histrelin is indicated for the treatment of children with central precocious puberty (CPP).[L41700] As the product Vantas (FDA), histrelin is indicated for the palliative treatment of advanced prostate cancer.[L41715]"
Lanreotide,"Lanreotide is indicated for the long-term treatment of patients with acromegaly who have had an inadequate response to, or cannot be treated with, surgery and/or radiotherapy.[L41115] It is also indicated in the treatment of adult patients with unresectable, well- or moderately-differentiated, locally advanced or metastatic gastroenteropancreatic neuroendocrine tumors (GEP-NETs) to improve progression-free survival.[L41115]

Lanreotide is additionally indicated for the treatment of adults with carcinoid syndrome - when used, it reduces the frequency of short-acting somatostatin analog rescue therapy.[L41115]"
Plicamycin,"For the treatment of testicular cancer, as well as hypercalcemia and hypercalciuria associated with a variety of advanced forms of cancer."
Triptorelin,Triptorelin is indicated for the palliative treatment of advanced prostate cancer.
AT-7519,"Investigated for use/treatment in leukemia (unspecified), lymphoma (unspecified), myelodysplastic syndrome, and solid tumors."
Vismodegib,"Vismodegib is indicated for the treatment of adults with metastatic basal cell carcinoma, or with locally advanced basal cell carcinoma that has recurred following surgery or who are not candidates for surgery and who are not candidates for radiation.[L45803]"
2-deoxyglucose,"As of July 2013, there is no approved therapeutic indication for 2-deoxyglucose. 2-deoxyglucose may have several potential indications as an adjunct to chemotherapy and radiotherapy in the treatment of solid tumors, as an antiviral treatment in herpes simplex patients, and as an antiepileptic in temporal lobe epilepsy patients."
Taurochenodeoxycholic acid,Taurochenodeoxycholic acid is likely indicated as a choleretic and cholagogue. It is also being investigated for its role in inflammation and cancer therapy.
Acetylcarnitine,"Acetylcarnitine is not approved for any indication in the United states and Canada, but it is approved and indicated in Italy for cerebrovascular disorders, mental function disorders, peripheral nerve disorders, diabetic neuropathy, and nutritional supplementation; Portugal for mental function disorders; Argentina for cerebral vasculopathy, nutritional supplementation, and peripheral neuropathy; Chile for dementia; Philippines for cerebrovascular disorders and mental function disorders; Australia for nutritional supplementation; and India for nutritional supplementation to increase sperm count. Acetylcarnitine also has several potential therapeutic indications for which it is still being investigated: in Norway, acetylcarnitine is in a phase IV trial for prophylactic treatment of migraines; in Italy acetylcarnitine is in a phase II trial for use in patients with type 2 Diabetes Mellitus, a phase III trial for alleviating fatigue in patients with chronic hepatitis C, and for use in patients with Minimal Hepatic Encephalopathy; in the United States acetylcarnitine is in a phase II trial for the neurodegenerative disorder Progressive Supranuclear Palsy, a phase II and III trial for reducing peripheral neuropathy in cancer patients as an adjunct to chemotherapy, a phase I and II trial for treating patients in septic shock, a phase II trial for bipolar depression, a phase II trial to reduce oxidative stress in patients with Sickle Cell disease, a phase I and II trial for chronic fatigue syndrome, and a study for preventing nerve damage in HIV patients; in China acetylcarnitine is in a phase III trial for reducing peripheral neuropathy in cancer patients as an adjunct to chemotherapy; in the United Kingdom acetylcarnitine is being investigated for preventing nerve damage in HIV patients; and in Israel acetylcarnitine is being studied for the treatment of male infertility."
Crizotinib,"Crizotinib is a kinase inhibitor indicated for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK) or ROS1-positive as detected by an FDA-approved test.[L42460] Crizotinib is also indicated for the treatment of relapsed or refractory, systemic anaplastic large cell lymphoma (ALCL) that is ALK-positive in pediatric patients 1 year of age and older and young adults. The safety and efficacy of crizotinib have not been established in older adults with relapsed or refractory, systemic ALK-positive ALCL.[L42460] Additionally, crizotinib is indicated for the treatment of adult and pediatric patients 1 year of age and older with unresectable, recurrent, or refractory inflammatory myofibroblastic tumor (IMT) that is ALK-positive.[L42460]"
Brentuximab vedotin,"Brentuximab vedotin is indicated in adult patients for the treatment of previously untreated stage III or IV classical Hodgkin's lymphoma (cHL) in combination with [doxorubicin], [vinblastine], and [dacarbazine]. It is also indicated for the treatment of cHL post-autologous hematopoietic stem cell transplantation (auto-HSCT) in patients at high risk of relapse or progression. Finally, it may be used in the treatment of adult patients with cHL who have previously failed either auto-HSCT or at least two prior multi-agent chemotherapy regimens if they are not candidates for auto-HSCT.[L39789]

Brentuximab vedotin is additionally indicated in the treatment of previously untreated systemic anaplastic large cell lymphoma (sALCL), or other CD30-expressing peripheral T-cell lymphomas (PTCL), in combination with [cyclophosphamide], doxorubicin, and [prednisone]. It may also be used as monotherapy in sALCL after therapeutic failure of a least one prior multi-agent chemotherapy regimen.[L39789]

Brentuximab vedotin is also indicated in the treatment of primary cutaneous large anaplastic large cell lymphoma, or CD30-expressing mycosis fungoides, who have received prior systemic therapy.[L39789]"
Eribulin,For the treatment of patients with metastatic breast cancer who have previously received at least two chemotherapeutic regimens for the treatment of metastatic cancer.
Cabozantinib,"Cabozantinib is indicated for the treatment of progressive, metastatic medullary thyroid cancer.[L15123] It is also indicated for the treatment of advanced renal cell carcinoma and for hepatocellular carcinoma in patients previously treated with sorafenib.[L15128,L15133]"
Aminopterin,"Prior to its withdrawal, aminopterin was initially used in the treatment of childhood leukemia; specifically to induce remissions. Later, aminopterin was used off-label in the United States to treat psoriasis, yielding dramatic lesion clearing. Aminopterin was later supplanted by methotrexate for treating cancer because of its better therapeutic index. Aminopterin (as well as methotrexate) has also been explored for use as an abortifacient. However, their association with severe congenital malformations and teratogenic effects have become known as fetal aminopterin syndrome."
Vemurafenib,"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271] 
Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"
Aflibercept,"The opthalmic agent is used for the treatment of neovascular (Wet) age-related macular degeneration (AMD), macular edema following retinal vein occlusion (RVO), diabetic macular edema (DME), diabetic retinopathy (DR), and retinopathy of prematurity (ROP).[L45136]

The systemic injection, known as ziv-aflibercept, in combination with 5-fluorouracil, leucovorin, irinotecan-(FOLFIRI), is for the treatment of metastatic colorectal cancer that is resistant to or progressed following treatment with oxaliplatin.[L45141]"
Regorafenib,"Regorafenib is indicated for the treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapy. Regorafenib is also indicated for the treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumour (GIST) who have been previously treated with imatinib mesylate and sunitinib malate. Regorafenib is also indicated for the treatment of patients with hepatocellular carcinoma (HCC) previously treated with sorafenib.[L16835]"
Enzalutamide,"Enzalutamide is indicated for the treatment of castration-resistant prostate cancer, metastatic castration-sensitive prostate cancer (mCSPC), and non-metastatic castration-sensitive prostate cancer (nmCSPC) with biochemical recurrence at high risk for metastasis (high-risk BCR).[L48776, L51048] It is also used in combination with [talazoparib] for the treatment of adult patients with HRR gene-mutated mCRPC.[L47236, L47306]"
Formestane,For the treatment of estrogen-receptor positive breast cancer in post-menopausal women.
Trametinib,"Trametinib is indicated as monotherapy for the treatment of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations.[L2727,L45583]

It is used in combination with [dabrafenib] for the:

- treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations.[L45558]
- adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations and involvement of lymph node(s), following complete resection.[L45558,L45583]
- treatment of patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation.[L45558] In Europe, it is indicated for the treatment of adults with advanced non-small cell lung cancer with a BRAF V600 mutation.[L45583]
- treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options.[L45558]
- the treatment of adult and pediatric patients six years of age and older with unresectable or metastatic solid tumours with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options. In the US, this indication is approved under accelerated approval based on the overall response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).[L45558]
- the treatment of pediatric patients one year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy.[L45558]

In the US, BRAF V600E or V600K mutations must be detected by an FDA-approved test. Trametinib is not indicated for the treatment of patients with colorectal cancer because of known intrinsic resistance to BRAF inhibition.[L45558]"
Dabrafenib,"As monotherapy, dabrafenib is indicated to treat unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test.[L41955] 

In combination with [trametinib], dabrafenib is indicated to treat for:

- the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test.[L41955]
- the adjuvant treatment of melanoma with BRAF V600E or V600K mutations and involvement of lymph node(s), following complete resection.[L41955]
- the treatment of metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation.[L41955]
- the treatment of locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options.[L41955]
- treatment of adult and pediatric patients six years and older with unresectable or metastatic solid tumours with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options. This indication is approved under accelerated approval based on the overall response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).[L45548]
- the treatment of pediatric patients one year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy.[L45548]

Dabrafenib has limitations of use: it is neither indicated for treating patients with colorectal cancer because of known intrinsic resistance to BRAF inhibition nor wild-type BRAF solid tumours.[L45548]"
Radium Ra 223 dichloride,Used in patients who have metastatic bone cancer that is symptomatic with no visceral metastases and patients who have prostate cancer that is castration resistant.
Afatinib,"Afatinib is a kinase inhibitor indicated as monotherapy [L2937] for the first-line [FDA Label] treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test [FDA Label], and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy [FDA Label, L2937].

Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I [L2939]."
Obinutuzumab,"Obinutuzumab, in combination with [chlorambucil], is indicated for the treatment of patients with previously untreated chronic lymphocytic leukemia.[L50617]

It is also used to treat follicular lymphoma, in combination with [bendamustine] followed by monotherapy, in patients who relapsed after or are refractory to, a [rituximab]-containing regimen.[L50617]

Obinutuzumab is also used in combination with chemotherapy followed by monotherapy to treat previously untreated stage II bulky, III or IV follicular lymphoma in adult patients achieving at least a partial remission.[L50617]"
Nivolumab,"Nivolumab is indicated to treat unresectable or metastatic melanoma, melanoma as adjuvant treatment, resectable or metastatic non-small cell lung cancer, small cell lung cancer, advanced renal cell carcinoma, classical Hodgkin lymphoma, squamous cell carcinoma of the head and neck, urothelial carcinoma, microsatellite instability-high or mismatch repair deficient metastatic colorectal cancer, hepatocellular carcinoma, and esophageal cancer.[L12129, L42970] The indication for classical Hodgkin lymphoma, microsatellite instability-high or mismatch repair deficient metastatic colorectal cancer, and hepatocellular carcinoma were approved under accelerated approval based on the overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.[L12129]

Nivolumab is also approved for the treatment of HER2-negative advanced or metastatic gastric, gastroesophageal junction, or esophageal adenocarcinoma when used in combination with a fluoropyrimidine- and platinum-containing chemotherapy regimen.[L39040]

In combination with [relatlimab], nivolumab is indicated for the treatment of patients ≥12 years old with unresectable or metastatic melanoma.[L41265,L49996,L50001]

In combination with [cisplatin] and [gemcitabine], nivolumab is indicated as a first-line treatment in adult patients with unresectable or metastatic urothelial carcinoma.[L12129]"
Pembrolizumab,"Pembrolizumab is indicated for the following conditions:[L48641,L44868,L43488]

### Melanoma
- for the treatment of patients with unresectable or metastatic melanoma (adult patients in the US[L38934] and patients ≥12 years old in the EU)[L43488]
- for the adjuvant treatment of adult and pediatric patients 12 years of age and older with Stage IIB, IIC, or III melanoma following complete resection

### Non-Small Cell Lung Cancer (NSCLC)
- in combination with [pemetrexed] and platinum-based chemotherapy as a first-line treatment for patients with metastatic nonsquamous NSCLC with no EGFR or ALK mutations
- in combination with [carboplatin] and [paclitaxel] as a first-line treatment for patients with metastatic squamous NSCLC
- as a monotherapy for the first-line treatment of NSCLC expressing PD-L1 with no EGFR or ALK mutations in patients with metastatic disease or stage III disease who are not candidates for surgery or chemoradiation
- as a monotherapy for the treatment of NSCLC expressing PD-L1 with disease progression on or after platinum-based chemotherapy - this includes patients with EGFR or ALK mutations, providing they have experienced disease progression on prior FDA-approved therapy for these aberrations
- in combination with platinum-based chemotherapy for the treatment of patients with resectable (tumors ≥4 cm or node positive) NSCLC as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery

### Malignant Pleural Mesothelioma (MPM)
- in combination with pemetrexed and platinum-based chemotherapy as a first-line treatment in adult patients with unresectable advanced or metastatic MPM

### Head and Neck Squamous Cell Cancer (HNSCC)
- in combination with [fluorouracil] and platinum-based chemotherapy as a first-line treatment for patients with metastatic or recurrent, unresectable HNSCC
- as a monotherapy for the first-line treatment of patients with metastatic or recurrent, unresectable HNSCC expressing PD-L1
- as a monotherapy for the treatment of patients with metastatic or recurrent HNSCC with disease progression on or after platinum-based chemotherapy

### Classical Hodgkin Lymphoma (cHL)
- for the treatment of adult patients with relapsed or refractory cHL
- for the treatment of pediatric patients with refractory cHL, or cHL that has relapsed following ≥2 lines of therapy

### Primary Mediastinal Large B-cell Lymphoma (PMBCL)
- for the treatment of adult and pediatric patients with refractory PMBCL, or PMBCL that has relapsed following ≥2 lines of therapy

### Urothelial Carcinoma
- for the treatment of locally advanced or metastatic urothelial carcinoma in patients ineligible for platinum-based chemotherapy
- for the treatment of locally advanced or metastatic urothelial carcinoma in patients who have disease progression during or following platinum-based chemotherapy or within 12 months of adjuvant/neoadjuvant platinum-based chemotherapy
- for the treatment of [BCG vaccine]-unresponsive, high-risk, non-muscle invasive bladder cancer with carcinoma in situ, with or without papillary tumors, who are not candidates for cystectomy
- for the treatment of locally advanced or metastatic urothelial carcinoma in combination with enfortumab vedotin in adult patients ineligible for platinum-based chemotherapy under the accelerated approval from the FDA

### Microsatellite Instability-High (MSI-H) or Mismatch Repair Deficient Cancer (dMMR)
- as a last-line therapy for the treatment of adult and pediatric patients with unresectable or metastatic MSI-H or dMMR solid tumors that have progressed following prior treatment
- for the treatment of patients with unresectable or metastatic MSI-H or dMMR colorectal cancer

### Gastric Cancer
- in combination with [trastuzumab], fluoropyrimidine-, and platinum-containing chemotherapy, as a first-line treatment for patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD -L1 (CPS ≥1) as determined by an FDA-approved test
- in combination with fluoropyrimidine - and platinum-containing chemotherapy for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma

### Esophageal Cancer
- in combination with fluoropyrimidine- and platinum-based chemotherapy for the treatment of patients with locally advanced or metastatic esophageal or GEJ carcinoma who are not candidates for surgery or definitive chemoradiation
- as a monotherapy for the treatment of locally advanced or metastatic esophageal or GEJ carcinoma expressing PD-L1 in patients who are not candidates for surgery or definitive chemoradiation

### Cervical Cancer
- in combination with other chemotherapies, with or without [bevacizumab], for the treatment of persistent, recurrent, or metastatic cervical cancer expressing PD-L1
- as a monotherapy for the treatment of recurrent or metastatic cervical cancer expressing PD-L1 in patients who have experienced disease progression on or after previous chemotherapy
- in combination with chemoradiotherapy for the treatment of patients with FIGO 2014 Stage III -IVA cervical cancer

### Hepatocellular Carcinoma (HCC)
- as a monotherapy for the treatment of HCC in patients who have been previously treated with [sorafenib]

### Biliary Tract Cancer (BTC)
- in combination with [gemcitabine] and [cisplatin] for the treatment of patients with locally advanced unresectable or metastatic biliary tract cancer

### Merkel Cell Carcinoma (MCC)
- for the treatment of adult and pediatric patients with recurrent locally advanced or metastatic MCC

### Renal Cell Carcinoma (RCC)
- in combination with either [axitinib] or [lenvatinib] as a first-line treatment for adult patients with advanced RCC
- for the adjuvant treatment of patients with RCC who are at an intermediate-high or high risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions

### Endometrial Carcinoma
- in combination with carboplatin and paclitaxel, followed by pembrolizumab as a single agent, for the t reatment of adult patients with primary advanced or recurrent endometrial carcinoma
- in combination with lenvatinib for the treatment of patients with advanced endometrial carcinoma that is not MSI-H or dMMR who experience disease progression following prior systemic therapy and who are not candidates for surgery or radiation therapy
- as a monotherapy for the treatment of patients with advanced endometrial carcinoma that is MSI-H or dMMR who have disease progression following prior systemic therapy and are not candidates for curative surgery or radiation

### Tumor Mutational Burden-High (TMB-H) Cancer
- as a last-line therapy for the treatment of adult and pediatric patients with unresectable or metastatic TMB-H solid tumors that have progressed following prior treatment

### Cutaneous Squamous Cell Carcinoma (cSCC)
- for the treatment of patients with recurrent or metastatic sCC, or locally advanced sCC that is not curable with surgery or radiation therapy

### Triple-Negative Breast Cancer (TNBC)
- for the treatment of patients with high-risk early-stage TNBC, in combination with chemotherapy as a neoadjuvant treatment followed by continued use as a single adjuvant agent following surgery
- in combination with chemotherapy for the treatment of locally recurrent unresectable or metastatic TNBC expressing PD-L1

For all approved adult indications, pembrolizumab may be used for an additional 6 weeks at 400mg weekly.[L38934]"
Netupitant,Netupitant is an antiemitic drug approved by the FDA in October 2014 for use in combination with palonosetron for the prevention of acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emetogenic chemotherapy.
Naloxegol,Indicated for the treatment of opioid-induced constipation (OIC) in adult patients with chronic non-cancer pain.
Blinatumomab,"Blinatumomab is indicated for the treatment of adults and children with relapsed or refractory CD19-positive B-cell precursor acute lymphoblastic leukemia (ALL). It is also indicated in adults and children for the treatment of CD19-positive B-cell precursor ALL in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1%.[L46991] When used in the consolidation phase of a multi-phase chemotherapy regimen, blinatumomab is also indicated for the treatment of CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia (ALL).[L51088]"
Cannabidiol,"When used in combination with delta-9-tetrahydrocannabinol as the product Sativex, cannabidiol was given a standard marketing authorization (ie. a Notice of Compliance (NOC)) by Health Canada for the following indications: 
1) as adjunctive treatment for symptomatic relief of spasticity in adult patients with multiple sclerosis (MS) who have not responded adequately to other therapy and who demonstrate meaningful improvement during an initial trial of therapy [L886];

Due to the need for confirmatory studies to verify the clinical benefit coupled with the promising nature of the clinical evidence, Sativex was also given a Notice of Compliance with Conditions (NOC/c) by Health Canada for the following indications: 
1) as adjunctive treatment for the symptomatic relief of neuropathic pain in adult patients with multiple sclerosis; 
2) as adjunctive analgesic treatment in adult patients with advanced cancer who experience moderate to severe pain during the highest tolerated dose of strong opioid therapy for persistent background pain [L886]."
